Month,Accuracy,ROC_AUC,Prior_Auth_Actual,Prior_Auth_Predicted,Samples,Avg_Confidence
2025-08,0.7508924875532005,0.6915023605554236,0.2752162514684212,0.28525221015975966,1311783,0.44809383
2025-09,0.749278562346307,0.690838238462683,0.2768857305908819,0.28723577129328914,1298449,0.45771685
2025-10,0.8291677837064321,0.8296320538577016,0.28016612585503975,0.17590619197183893,1115299,0.28021806
2025-11,0.8283636661981779,0.8291393914188678,0.28061348248874557,0.17657686902052552,1121336,0.2805656
2025-12,0.8283475815232173,0.8291560241137103,0.2806597653529559,0.17662286243712264,1121429,0.28064236
2026-01,0.8285514733697067,0.8291975652227711,0.2807437541304521,0.17712988242911273,1118219,0.28076655
2026-02,0.8281790951187861,0.8299261238780452,0.2813776739438495,0.17764419501341816,1122733,0.28134674
2026-03,0.8276356183304743,0.8295627371480405,0.2820638492213781,0.17823779713502796,1122175,0.28202665
2026-04,0.8276356183304743,0.8295618297895746,0.2820638492213781,0.17823779713502796,1122175,0.28206488
2026-05,0.8270548707024653,0.8291812333687274,0.2826892036425049,0.1788391962571251,1123842,0.28263944
2026-06,0.8266144163274307,0.8295144586434076,0.2837017355720238,0.17993466039947145,1124586,0.2836924
2026-07,0.8249723296807325,0.8285652183588686,0.28502208287216135,0.17972539654859476,1123948,0.28294417
2026-08,0.8255833164565057,0.8246972292954893,0.28392331169546386,0.18009618015214016,1125804,0.29062098
